,NDB_No,Shrt_Desc,popularity,Protein_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(mcg),Choline_Tot_ (mg),Vit_B12_(mcg),Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_K_(mcg),macro,groupname,micro
2993,20651,"RICE,BROWN,PARBLD,CKD,UNCLE BENS",0.0,4.7895,4.65,0.8215,60.45,148.8,94.55,1.1935,0.19995000000000002,1.767,14.57,0.0,0.15035,0.10850000000000001,2.94965,0.42625,0.1705,6.2,6.82,0.0,0.0,0.0,0.0,0.62,20.0,GrainsPasta,GrainsPasta3
2994,20652,"PASTA,WHL GRAIN,51% WHL WHEAT,REMAINING ENR SEMOLINA,CKD",0.0,6.5772,12.76,1.8328,47.56,112.52,82.36,1.1832,0.20879999999999999,1.14376,35.611999999999995,0.0,0.22852,0.15428,3.0821199999999997,0.3016,0.0754,44.08,15.08,0.0,0.0,0.0,0.0,0.23200000000000004,20.0,GrainsPasta,GrainsPasta3
2995,20653,"PASTA,WHL GRAIN,51% WHL WHEAT,REMAINING ENR SEMOLINA,DRY",0.0,12.012,22.75,3.1031,85.54,229.32,289.38,2.0020000000000002,0.3549,1.9201,69.888,0.0,0.5005000000000001,0.28483,7.853300000000001,0.637,0.2184,103.74,16.288999999999998,0.0,0.0,0.0,0.0,0.8190000000000001,20.0,GrainsPasta,GrainsPasta2
2996,20654,"PASTA,GLUTEN-FREE,BROWN RICE FLR,CKD,TINKYADA",0.0,5.8474,8.45,0.8957,60.84,147.03,42.25,1.4026999999999998,0.11661000000000002,2.07363,18.759,0.0,0.16055,0.13858,2.47585,0.43940000000000007,0.12675,6.76,4.563,0.0,0.0,0.0,0.0,0.507,20.0,GrainsPasta,GrainsPasta3
2997,20655,"PASTA,GLUTEN-FREE,CORN FLR & QUINOA FLR,CKD,ANCIENT HARVEST",0.0,5.3618,11.62,1.1952,68.06,151.06,104.58,1.162,0.10624,0.34196,3.6520000000000006,0.0,0.1992,0.15438000000000002,0.747,0.3486,0.083,13.28,9.628,0.0,1.66,0.3818,0.0,0.0,20.0,GrainsPasta,GrainsPasta3
2998,20656,"PASTA,GLUTEN-FREE,RICE FLR & RICE BRAN EXTRACT,CKD,DE BOLES",0.0,5.0941,25.41,0.7502,62.92,159.72,66.55,1.3068,0.15125,2.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,GrainsPasta,GrainsPasta3
2999,20657,"PASTA,GLUTEN-FREE,CORN & RICE FLR,CKD",22.0,4.5120000000000005,2.82,0.3102,15.51,46.53,33.84,0.3807,0.0282,0.13254,3.1020000000000003,0.0,0.07050000000000001,0.11138999999999999,0.3384,0.19740000000000002,0.052169999999999994,5.64,2.397,0.0,5.64,0.0,0.0,0.0,20.0,GrainsPasta,GrainsPasta10
3000,35001,"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3001,35003,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3002,35004,ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
